"SKU","Produto","Quantidade Vendida","Primeiro Nome","Sobrenome","Loja","Preco Unitario",""
"HL4379","Casa","5","Gabriel","Thoni","Curitiba","2500",""
"HL4379","Casa","3","Renan","Nascimento","Recife","2500",""
"HL1918","iPhone","3","Clara","Bruno","Fortaleza","5300",""
"HL9962","Android","4","Eduardo","Pacheco","Fortaleza","3400",""
"HL1918","iPhone","4","Sarah","Souza","São Paulo","5300",""
"HL2714","Vida","2","Thays","Castro","Curitiba","1600",""
"HL4379","Casa","4","Jessica","Cordovil","Rio de Janeiro","2500",""
"HL1148","Imovel","3","Camille","Silva","São Paulo","2100",""
"HL1918","iPhone","3","Alon","Palmeira","São Paulo","5300",""
"HL1918","iPhone","2","Rafael","Rocha","Fortaleza","5300",""
"HL1918","iPhone","2","Camilla","Guimarães","Rio de Janeiro","5300",""
"HL4379","Casa","1","Daniel","Monteiro","Goiás","2500",""
"HL4379","Casa","4","Ylana","Teraoka","Porto Alegre","2500",""
"HL2714","Vida","2","Caio","Ferreira","Fortaleza","1600",""
"HL8851","Imovel","3","Mariana","Freire","Fortaleza","3500",""
"HL4379","Casa","2","Carolina","Alfradique","Belo Horizonte","2500",""
"HL8851","Imovel","4","Leandro","Rodrigues","São Paulo","3500",""
"HL9962","Android","4","Elaine","Santos","Goiás","3400",""
"HL4379","Casa","5","Katharina","Barros","Rio de Janeiro","2500",""
"HL1918","iPhone","3","Lucas","Rodrigues","Curitiba","5300",""
"HL8851","Imovel","5","Fillipe","Almeida","São Paulo","3500",""
"HL2714","Vida","5","Carla","Zakhm","Recife","1600",""
"HL4379","Casa","1","Danilo","Rubim","Belo Horizonte","2500",""
"HL1918","iPhone","4","Bianca","Tatsch","Recife","5300",""
"HL1918","iPhone","5","Bernard","Pedrosa","Belo Horizonte","5300",""
"HL1918","Vida","3","Gabriel","Silva","Curitiba","5300",""
"HL2714","Vida","1","Pedro","Oliveira","Fortaleza","1600",""
"HL1148","Câmera","4","Gabriel","Puntel","São Paulo","2100",""
"HL1918","iPhone","5","Clarissa","Santos","São Paulo","5300",""
"HL1918","iPhone","2","Danilo","Rubim","São Paulo","5300",""
"HL7348","Automovel","1","Nathan","Morelli","São Paulo","1400",""
"HL1918","iPhone","3","Guido","Monteiro","Recife","5300",""
"HL7348","Automovel","4","Beatriz","Li","São Paulo","1400",""
"HL2714","Vida","1","Sarah","Souza","São Paulo","1600",""
"HL8851","Automovel","5","João","Aires","São Paulo","3500",""
"HL9962","Android","1","Rodrigo","Silva","Rio de Janeiro","3400",""
"HL4379","Casa","3","Júlio","Freire","Rio de Janeiro","2500",""
"HL2714","Vida","5","Rodrigo","Alves","Salvador","1600",""
"HL4379","Casa","1","Eduardo","Quindeler","Recife","2500",""
"HL1918","iPhone","5","Lenon","Fernandes","Goiás","5300",""
"HL8851","Automovel","2","Larissa","Cruz","Recife","3500",""
"HL4379","Televisão","2","Guilherme","Merotto","São Paulo","2500",""
"HL1918","iPhone","4","Myllena","Carneiro","São Paulo","5300",""
"HL8851","Notebook","5","Breno","Farias","Porto Alegre","3500",""
"HL7348","SmartWatch","1","Vivianne","Rodrigues","Goiás","1400",""
"HL1918","iPhone","4","Ulisses","Arruda","Salvador","5300",""
"HL4379","Televisão","2","Lorena","Kohn","Porto Alegre","2500",""
"HL1918","iPhone","3","Raphael","Guedes","Fortaleza","5300",""
"HL1918","iPhone","5","Lucas","Lemos","Belo Horizonte","5300",""
"HL1918","iPhone","4","Juliana","Goes","Porto Alegre","5300",""
"HL1148","Câmera","3","Kim","Ferreira","São Paulo","2100",""
"HL1918","iPhone","5","Ana","Silva","São Paulo","5300",""
"HL9962","Android","1","Alexandre","Dantas","Recife","3400",""
"HL4379","Televisão","3","Pedro","Conceição","Curitiba","2500",""
"HL1148","Câmera","1","Marina","Mesquita","Recife","2100",""
"HL2714","Tablet","3","Sandy","Ribeiro","Curitiba","1600",""
"HL1148","Câmera","3","Adrielle","Vieira","São Paulo","2100",""
"HL1148","Câmera","5","Jackson","Derossi","Rio de Janeiro","2100",""
"HL7348","SmartWatch","4","Isabela","Teixeira","Curitiba","1400",""
"HL1148","Câmera","1","Willian","Albino","Rio de Janeiro","2100",""
"HL1918","iPhone","3","Carolina","Costa","Curitiba","5300",""
"HL8851","Notebook","5","Bernardo","Botelho","Belo Horizonte","3500",""
"HL8851","Notebook","3","Carlos","Melo","Porto Alegre","3500",""
"HL4379","Televisão","2","Carolina","Figueiredo","São Paulo","2500",""
"HL9962","Android","3","Raissa","Negrelli","Salvador","3400",""
"HL9962","Android","4","Raphael","Machado","Porto Alegre","3400",""
